Date,coredata.weekly_CGT5.,start_date
2018-05-06,14.818958333333333,2018-04-30
2018-05-13,16.02763392857143,2018-05-07
2018-05-20,15.914642857142857,2018-05-14
2018-05-27,16.336190476190477,2018-05-21
2018-06-03,15.081369047619049,2018-05-28
2018-06-10,15.464806547619048,2018-06-04
2018-06-17,16.04654761904762,2018-06-11
2018-06-24,18.41001488095238,2018-06-18
2018-07-01,17.070877976190477,2018-06-25
2018-07-08,17.00563988095238,2018-07-02
2018-07-15,18.426458333333333,2018-07-09
2018-07-22,18.332991071428573,2018-07-16
2018-07-29,19.313556547619047,2018-07-23
2018-08-05,18.699122023809522,2018-07-30
2018-08-12,19.424285714285713,2018-08-06
2018-08-19,18.727589285714284,2018-08-13
2018-08-26,17.742232142857144,2018-08-20
2018-09-02,17.20282738095238,2018-08-27
2018-09-09,16.81217261904762,2018-09-03
2018-09-16,16.126666666666665,2018-09-10
2018-09-23,14.921160714285714,2018-09-17
2018-09-30,14.967678571428571,2018-09-24
2018-10-01,16.177291666666665,2018-09-25
2019-05-05,13.955479919678714,2019-04-29
2019-05-12,16.464657738095237,2019-05-06
2019-05-19,14.777098214285715,2019-05-13
2019-05-26,14.970982142857142,2019-05-20
2019-06-02,16.91046130952381,2019-05-27
2019-06-09,15.806458333333333,2019-06-03
2019-06-16,18.65108630952381,2019-06-10
2019-06-23,16.571235119047618,2019-06-17
2019-06-30,16.623214285714287,2019-06-24
2019-07-07,17.118988095238095,2019-07-01
2019-07-14,18.86952380952381,2019-07-08
2019-07-21,18.183377976190474,2019-07-15
2019-07-28,18.132752976190474,2019-07-22
2019-08-04,18.859211309523808,2019-07-29
2019-08-11,18.596622023809523,2019-08-05
2019-08-18,18.48563988095238,2019-08-12
2019-08-25,18.014270833333335,2019-08-19
2019-09-01,18.541294642857142,2019-08-26
2019-09-08,18.640029761904763,2019-09-02
2019-09-15,18.069940476190474,2019-09-09
2019-09-22,17.090297619047618,2019-09-16
2019-09-29,15.440744047619047,2019-09-23
2019-10-06,12.135342261904762,2019-09-30
2019-10-11,11.000892803030304,2019-10-05
2021-05-02,15.075347222222222,2021-04-26
2021-05-09,14.104985119047619,2021-05-03
2021-05-16,15.643318452380953,2021-05-10
2021-05-23,13.474642857142857,2021-05-17
2021-05-30,14.963869047619047,2021-05-24
2021-06-06,16.705059523809524,2021-05-31
2021-06-13,15.013705357142857,2021-06-07
2021-06-20,18.1934375,2021-06-14
2021-06-27,20.508050595238096,2021-06-21
2021-07-04,20.27903273809524,2021-06-28
2021-07-11,18.174285714285716,2021-07-05
2021-07-18,17.21950892857143,2021-07-12
2021-07-25,16.93705357142857,2021-07-19
2021-08-01,18.75691964285714,2021-07-26
2021-08-08,18.92986607142857,2021-08-02
2021-08-15,19.007455357142856,2021-08-09
2021-08-22,17.436354166666668,2021-08-16
2021-08-29,16.243973214285713,2021-08-23
2021-09-05,15.505267857142856,2021-08-30
2021-09-12,17.380044642857143,2021-09-06
2021-09-19,16.319151785714286,2021-09-13
2021-09-26,16.159211309523812,2021-09-20
2021-10-03,14.671488095238095,2021-09-27
2021-10-08,13.085808333333333,2021-10-02
2022-05-01,13.43115625,2022-04-25
2022-05-08,12.560678571428571,2022-05-02
2022-05-15,12.48828869047619,2022-05-09
2022-05-22,13.409563988095238,2022-05-16
2022-05-29,15.12702380952381,2022-05-23
2022-06-05,15.622967261904762,2022-05-30
2022-06-12,15.940872023809524,2022-06-06
2022-06-19,14.92290625,2022-06-13
2022-06-26,17.025477678571427,2022-06-20
2022-07-03,17.78854613095238,2022-06-27
2022-07-10,18.541199404761905,2022-07-04
2022-07-17,19.37774107142857,2022-07-11
2022-07-24,19.072767857142857,2022-07-18
2022-07-31,21.421127976190476,2022-07-25
2022-08-07,19.224447916666666,2022-08-01
2022-08-14,19.214355654761906,2022-08-08
2022-08-21,19.98354613095238,2022-08-15
2022-08-28,19.51352232142857,2022-08-22
2022-09-04,18.82971875,2022-08-29
2022-09-11,17.20324851190476,2022-09-05
2022-09-18,17.227854166666667,2022-09-12
2022-09-25,16.17761607142857,2022-09-19
2022-10-02,16.237022321428572,2022-09-26
2022-10-04,15.725707236842105,2022-09-28
