Date,coredata.weekly_GIB15.,start_date
2018-05-06,13.053854166666667,2018-04-30
2018-05-13,14.721592261904762,2018-05-07
2018-05-20,15.057708333333334,2018-05-14
2018-05-27,15.892738095238094,2018-05-21
2018-06-03,15.166949404761905,2018-05-28
2018-06-10,15.265520833333333,2018-06-04
2018-06-17,15.52047619047619,2018-06-11
2018-06-24,18.165535714285713,2018-06-18
2018-07-01,17.039791666666666,2018-06-25
2018-07-08,16.982872023809524,2018-07-02
2018-07-15,18.22784226190476,2018-07-09
2018-07-22,17.863779761904762,2018-07-16
2018-07-29,18.637797619047618,2018-07-23
2018-08-05,17.968080357142856,2018-07-30
2018-08-12,18.43470238095238,2018-08-06
2018-08-19,17.20299107142857,2018-08-13
2018-08-26,16.31136904761905,2018-08-20
2018-09-02,15.662529761904763,2018-08-27
2018-09-09,14.930863095238095,2018-09-03
2018-09-16,14.401488095238095,2018-09-10
2018-09-23,13.200833333333334,2018-09-17
2018-09-30,12.894479166666667,2018-09-24
2018-10-01,14.5115625,2018-09-25
2019-05-05,12.569820175438597,2019-04-29
2019-05-12,14.83532738095238,2019-05-06
2019-05-19,13.727872023809523,2019-05-13
2019-05-26,14.121130952380952,2019-05-20
2019-06-02,16.043988095238095,2019-05-27
2019-06-09,15.557410714285714,2019-06-03
2019-06-16,18.66325892857143,2019-06-10
2019-06-23,16.839732142857144,2019-06-17
2019-06-30,16.451830357142857,2019-06-24
2019-07-07,17.31544642857143,2019-07-01
2019-07-14,18.438020833333333,2019-07-08
2019-07-21,18.009568452380954,2019-07-15
2019-07-28,17.900193452380954,2019-07-22
2019-08-04,18.24861607142857,2019-07-29
2019-08-11,17.91767857142857,2019-08-05
2019-08-18,17.608526785714286,2019-08-12
2019-08-25,16.707663690476192,2019-08-19
2019-09-01,17.3065625,2019-08-26
2019-09-08,17.331755952380952,2019-09-02
2019-09-15,16.565625,2019-09-09
2019-09-22,15.561934523809525,2019-09-16
2019-09-29,14.231041666666666,2019-09-23
2019-10-06,10.37577380952381,2019-09-30
2019-10-11,9.63796314102564,2019-10-05
2022-05-01,11.875489583333334,2022-04-25
2022-05-08,11.333494047619046,2022-05-02
2022-05-15,11.200901785714285,2022-05-09
2022-05-22,12.313126488095238,2022-05-16
2022-05-29,13.609224702380953,2022-05-23
2022-06-05,14.43375,2022-05-30
2022-06-12,14.330309523809523,2022-06-06
2022-06-19,13.390927083333333,2022-06-13
2022-06-26,16.60141964285714,2022-06-20
2022-07-03,17.369174107142857,2022-06-27
2022-07-10,17.787449404761905,2022-07-04
2022-07-17,18.905349702380953,2022-07-11
2022-07-24,18.66520386904762,2022-07-18
2022-07-31,21.332811011904763,2022-07-25
2022-08-07,19.296120535714287,2022-08-01
2022-08-14,18.31363988095238,2022-08-08
2022-08-21,19.269318452380954,2022-08-15
2022-08-28,18.703455357142857,2022-08-22
2022-09-04,17.81659970238095,2022-08-29
2022-09-11,16.322449404761905,2022-09-05
2022-09-18,16.286136904761904,2022-09-12
2022-09-25,14.746813988095239,2022-09-19
2022-10-02,15.114979166666666,2022-09-26
2022-10-04,14.286526041666667,2022-09-28
