Date,coredata.weekly_WAL3.,start_date
2018-05-06,12.588993055555555,2018-04-30
2018-05-13,13.40796130952381,2018-05-07
2018-05-20,13.698839285714286,2018-05-14
2018-05-27,14.418199404761905,2018-05-21
2018-06-03,13.786160714285714,2018-05-28
2018-06-10,14.128630952380952,2018-06-04
2018-06-17,14.230297619047619,2018-06-11
2018-06-24,16.566607142857144,2018-06-18
2018-07-01,16.11638392857143,2018-06-25
2018-07-08,16.324032738095237,2018-07-02
2018-07-15,18.051830357142858,2018-07-09
2018-07-22,18.290104166666666,2018-07-16
2018-07-29,19.464568452380952,2018-07-23
2018-08-05,18.707351190476192,2018-07-30
2018-08-12,19.53715773809524,2018-08-06
2018-08-19,18.527782738095237,2018-08-13
2018-08-26,17.468779761904763,2018-08-20
2018-09-02,17.030074404761905,2018-08-27
2018-09-09,16.77529761904762,2018-09-03
2018-09-16,15.597916666666666,2018-09-10
2018-09-23,14.647395833333334,2018-09-17
2018-09-30,14.926696428571429,2018-09-24
2018-10-01,15.848958333333334,2018-09-25
2019-05-05,12.31118596491228,2019-04-29
2019-05-12,14.251220238095238,2019-05-06
2019-05-19,12.900773809523809,2019-05-13
2019-05-26,13.037901785714286,2019-05-20
2019-06-02,14.424999999999999,2019-05-27
2019-06-09,13.859895833333333,2019-06-03
2019-06-16,17.090595238095236,2019-06-10
2019-06-23,15.390550595238095,2019-06-17
2019-06-30,15.486889880952381,2019-06-24
2019-07-07,15.986592261904763,2019-07-01
2019-07-14,17.332738095238096,2019-07-08
2019-07-21,17.07785714285714,2019-07-15
2019-07-28,17.98544642857143,2019-07-22
2019-08-04,18.66,2019-07-29
2019-08-11,18.256636904761905,2019-08-05
2019-08-18,18.32450892857143,2019-08-12
2019-08-25,17.726785714285715,2019-08-19
2019-09-01,18.733809523809523,2019-08-26
2019-09-08,18.50171130952381,2019-09-02
2019-09-15,16.969672619047618,2019-09-09
2019-09-22,15.789166666666667,2019-09-16
2019-09-29,14.967410714285714,2019-09-23
2019-10-06,12.305877976190477,2019-09-30
2019-10-11,11.526017857142858,2019-10-05
2021-05-02,13.48232638888889,2021-04-26
2021-05-09,12.767395833333333,2021-05-03
2021-05-16,14.669985119047618,2021-05-10
2021-05-23,13.010386904761905,2021-05-17
2021-05-30,14.150729166666666,2021-05-24
2021-06-06,16.652410714285715,2021-05-31
2021-06-13,14.463125,2021-06-07
2021-06-20,15.639375,2021-06-14
2021-06-27,18.363958333333333,2021-06-21
2021-07-04,19.176324404761907,2021-06-28
2021-07-11,18.467752976190475,2021-07-05
2021-07-18,18.522574404761905,2021-07-12
2021-07-25,18.41578869047619,2021-07-19
2021-08-01,20.44799107142857,2021-07-26
2021-08-08,20.223467261904762,2021-08-02
2021-08-15,21.060223214285713,2021-08-09
2021-08-22,18.109732142857144,2021-08-16
2021-08-29,17.07924107142857,2021-08-23
2021-09-05,16.772604166666667,2021-08-30
2021-09-12,17.68782738095238,2021-09-06
2021-09-19,15.952068452380953,2021-09-13
2021-09-26,16.08918154761905,2021-09-20
2021-10-02,14.903223006272402,2021-09-26
2022-05-01,12.195458333333333,2022-04-25
2022-05-08,11.704744047619048,2022-05-02
2022-05-15,11.732715773809524,2022-05-09
2022-05-22,12.30674255952381,2022-05-16
2022-05-29,13.559709821428571,2022-05-23
2022-06-05,14.060532738095239,2022-05-30
2022-06-12,14.133815476190476,2022-06-06
2022-06-19,13.337305059523809,2022-06-13
2022-06-26,15.548433035714286,2022-06-20
2022-07-03,15.873825892857143,2022-06-27
2022-07-10,16.436910714285716,2022-07-04
2022-07-17,17.539497023809524,2022-07-11
2022-07-24,17.74666369047619,2022-07-18
2022-07-31,20.599294642857142,2022-07-25
2022-08-07,18.754537202380952,2022-08-01
2022-08-14,18.086200892857143,2022-08-08
2022-08-21,19.35770386904762,2022-08-15
2022-08-28,18.87099107142857,2022-08-22
2022-09-04,18.64920238095238,2022-08-29
2022-09-11,17.267622023809523,2022-09-05
2022-09-18,16.716214285714287,2022-09-12
2022-09-25,15.894111607142857,2022-09-19
2022-10-02,16.029232142857143,2022-09-26
2022-10-04,15.348280427631579,2022-09-28
