Impervious,Water,Herbaceous,BareSoilDr,Unsuitable,PossiblePl,Shrub,Shape_Area,object_id,Year,UrbanTreeCanopy_pct
68.9111233454,0,9.92651458937,0,0,10.015080068,0.0885654786126,763.3321968669999,1,2020,25.2220121119
68.9111233454,0,9.92651458937,0,0,10.015080068,0.0885654786126,763.3321968669999,1,2022,19.6950475142
68.9111233454,0,9.92651458937,0,0,10.015080068,0.0885654786126,763.3321968669999,1,2024,21.0737965866
56.0854092527,0,13.9182721806,0,0,14.1686096454,0.25033746472,9423.53362123,2,2020,32.0235611732
56.0854092527,0,13.9182721806,0,0,14.1686096454,0.25033746472,9423.53362123,2,2022,26.6339428151
56.0854092527,0,13.9182721806,0,0,14.1686096454,0.25033746472,9423.53362123,2,2024,29.745981102
77.0911661686,0,2.01163276455,0,0,2.01163276455,0,10954.0001229,3,2020,24.451299849
77.0911661686,0,2.01163276455,0,0,2.01163276455,0,10954.0001229,3,2022,18.6124232784
77.0911661686,0,2.01163276455,0,0,2.01163276455,0,10954.0001229,3,2024,20.8972010669
60.1269781698,0,8.83217614312,0,0,9.05110402202,0.218927878902,138.046928264,4,2020,37.0832551448
60.1269781698,0,8.83217614312,0,0,9.05110402202,0.218927878902,138.046928264,4,2022,21.6894977169
60.1269781698,0,8.83217614312,0,0,9.05110402202,0.218927878902,138.046928264,4,2024,30.8219178082
68.7205537352,0,4.17046357873,0,0,4.43414700351,0.263683424782,12551.0986224,5,2020,32.5358202299
68.7205537352,0,4.17046357873,0,0,4.43414700351,0.263683424782,12551.0986224,5,2022,25.6121914807
68.7205537352,0,4.17046357873,0,0,4.43414700351,0.263683424782,12551.0986224,5,2024,26.8452992613
51.6111602318,0,5.42292956086,0,0,5.42292956086,0,8869.7890297,6,2020,46.6204931722
51.6111602318,0,5.42292956086,0,0,5.42292956086,0,8869.7890297,6,2022,33.7803320562
51.6111602318,0,5.42292956086,0,0,5.42292956086,0,8869.7890297,6,2024,42.9659102073
71.6273076316,0,2.12880660601,0,0,2.15247462263,0.0236680166202,21927.0131363,7,2020,27.5337926682
71.6273076316,0,2.12880660601,0,0,2.15247462263,0.0236680166202,21927.0131363,7,2022,25.1222847525
71.6273076316,0,2.12880660601,0,0,2.15247462263,0.0236680166202,21927.0131363,7,2024,26.2202177458
47.8901727103,0.0278565026766,12.2859288327,0,0,12.4940939874,0.204684737059,20597.4157932,8,2020,45.2624692584
