Date,coredata.weekly_MRA10.,start_date
2018-05-06,13.611215277777777,2018-04-30
2018-05-13,15.176116071428572,2018-05-07
2018-05-20,15.593720238095239,2018-05-14
2018-05-27,16.6590625,2018-05-21
2018-06-03,15.793883928571429,2018-05-28
2018-06-10,15.987306547619047,2018-06-04
2018-06-17,15.95732142857143,2018-06-11
2018-06-24,19.22574404761905,2018-06-18
2018-07-01,19.081532738095238,2018-06-25
2018-07-08,18.979910714285715,2018-07-02
2018-07-15,20.875223214285715,2018-07-09
2018-07-22,20.984017857142856,2018-07-16
2018-07-29,22.256770833333334,2018-07-23
2018-08-05,21.132455357142856,2018-07-30
2018-08-12,21.584002976190476,2018-08-06
2018-08-19,20.100133928571427,2018-08-13
2018-08-26,18.57391369047619,2018-08-20
2018-09-02,17.885431547619046,2018-08-27
2018-09-09,16.861383928571428,2018-09-03
2018-09-16,14.784181547619047,2018-09-10
2018-09-23,14.406175595238095,2018-09-17
2018-09-30,14.799404761904762,2018-09-24
2018-10-01,15.408229166666667,2018-09-25
2019-05-05,14.217291666666666,2019-04-29
2019-05-12,16.72266369047619,2019-05-06
2019-05-19,13.739747023809525,2019-05-13
2019-05-26,14.131205357142857,2019-05-20
2019-06-02,16.687872023809526,2019-05-27
2019-06-09,16.659389880952382,2019-06-03
2019-06-16,20.57950892857143,2019-06-10
2019-06-23,18.40936011904762,2019-06-17
2019-06-30,17.86520833333333,2019-06-24
2019-07-07,18.48175595238095,2019-07-01
2019-07-14,19.87672619047619,2019-07-08
2019-07-21,19.979508928571427,2019-07-15
2019-07-28,20.83675595238095,2019-07-22
2019-08-04,20.90294642857143,2019-07-29
2019-08-11,19.6703125,2019-08-05
2019-08-18,19.72168154761905,2019-08-12
2019-08-25,18.771651785714287,2019-08-19
2019-09-01,19.47300595238095,2019-08-26
2019-09-08,17.971026785714287,2019-09-02
2019-09-15,16.017946428571427,2019-09-09
2019-09-22,15.307395833333333,2019-09-16
2019-09-29,14.64248511904762,2019-09-23
2019-10-06,11.679568452380952,2019-09-30
2019-10-11,11.369616578014185,2019-10-05
2021-05-02,15.8509375,2021-04-26
2021-05-09,15.33123511904762,2021-05-03
2021-05-16,18.07077380952381,2021-05-10
2021-05-23,15.284494047619047,2021-05-17
2021-05-30,16.308720238095237,2021-05-24
2021-06-06,20.823392857142856,2021-05-31
2021-06-13,16.365684523809524,2021-06-07
2021-06-20,18.999255952380953,2021-06-14
2021-06-27,23.785386904761904,2021-06-21
2021-07-04,23.475892857142856,2021-06-28
2021-07-11,22.077410714285715,2021-07-05
2021-07-18,21.56421130952381,2021-07-12
2021-07-25,20.891830357142858,2021-07-19
2021-08-01,22.054032738095238,2021-07-26
2021-08-08,21.577113095238094,2021-08-02
2021-08-15,22.130386904761906,2021-08-09
2021-08-22,18.798244047619047,2021-08-16
2021-08-29,17.732752976190476,2021-08-23
2021-09-05,17.276785714285715,2021-08-30
2021-09-12,17.954925595238095,2021-09-06
2021-09-19,16.122857142857143,2021-09-13
2021-09-26,16.376875000000002,2021-09-20
2021-10-02,15.054270833333334,2021-09-26
2022-05-01,12.93159375,2022-04-25
2022-05-08,12.318093750000001,2022-05-02
2022-05-15,12.022183035714285,2022-05-09
2022-05-22,13.62125,2022-05-16
2022-05-29,15.695578869047619,2022-05-23
2022-06-05,16.02750148809524,2022-05-30
2022-06-12,15.695739583333333,2022-06-06
2022-06-19,14.308058035714286,2022-06-13
2022-06-26,18.34744494047619,2022-06-20
2022-07-03,19.614296130952383,2022-06-27
2022-07-10,19.69475148809524,2022-07-04
2022-07-17,21.146690476190475,2022-07-11
2022-07-24,20.945282738095237,2022-07-18
2022-07-31,23.89166517857143,2022-07-25
2022-08-07,21.861674107142857,2022-08-01
2022-08-14,20.62829761904762,2022-08-08
2022-08-21,21.195489583333334,2022-08-15
2022-08-28,20.99228869047619,2022-08-22
2022-09-04,20.06511011904762,2022-08-29
2022-09-11,17.91114136904762,2022-09-05
2022-09-18,16.702409226190476,2022-09-12
2022-09-25,15.956863095238095,2022-09-19
2022-10-02,15.854614583333333,2022-09-26
2022-10-04,15.70520942982456,2022-09-28
