Year,Impervious_median,Water_median,Herbaceous_median,BareSoilDr_median,Unsuitable_median,PossiblePl_median,Shrub_median,UrbanTreeCanopy_pct_median
2020,17.178915,1.501218788,63.55209551,2.30403009,0,67.53441473,1.093363077,8.475664972
2022,17.178915,1.501218788,63.55209551,2.30403009,0,67.53441473,1.093363077,9.557685253
2024,17.178915,1.501218788,63.55209551,2.30403009,0,67.53441473,1.093363077,8.706283871
