Year,Impervious_mean,Impervious_median,Impervious_min,Impervious_max,Water_mean,Water_median,Water_min,Water_max,Herbaceous_mean,Herbaceous_median,Herbaceous_min,Herbaceous_max,BareSoilDr_mean,BareSoilDr_median,BareSoilDr_min,BareSoilDr_max,Unsuitable_mean,Unsuitable_median,Unsuitable_min,Unsuitable_max,PossiblePl_mean,PossiblePl_median,PossiblePl_min,PossiblePl_max,Shrub_mean,Shrub_median,Shrub_min,Shrub_max,UrbanTreeCanopy_pct_mean,UrbanTreeCanopy_pct_median,UrbanTreeCanopy_pct_min,UrbanTreeCanopy_pct_max
2020,18.151167052334287,17.1789149962,4.19418668961,39.1216228609,8.980814976076429,1.50121878777,0,31.0222442166,57.855938293471425,63.5520955114,23.1082680059,84.9035826215,5.356622001930429,2.30403008951,0.169933837236,21.4983729403,0,0,0,0,64.63592657294285,67.5344147255,33.1374574256,88.7261438436,1.9876649425317143,1.09336307735,0.364168244979,6.16861118913,8.36558856322,8.47566497229,1.64713721963,15.1519604692
2022,18.151167052334287,17.1789149962,4.19418668961,39.1216228609,8.980814976076429,1.50121878777,0,31.0222442166,57.855938293471425,63.5520955114,23.1082680059,84.9035826215,5.356622001930429,2.30403008951,0.169933837236,21.4983729403,0,0,0,0,64.63592657294285,67.5344147255,33.1374574256,88.7261438436,1.9876649425317143,1.09336307735,0.364168244979,6.16861118913,10.107697254385714,9.55768525304,2.03781324699,16.8851088843
2024,18.151167052334287,17.1789149962,4.19418668961,39.1216228609,8.980814976076429,1.50121878777,0,31.0222442166,57.855938293471425,63.5520955114,23.1082680059,84.9035826215,5.356622001930429,2.30403008951,0.169933837236,21.4983729403,0,0,0,0,64.63592657294285,67.5344147255,33.1374574256,88.7261438436,1.9876649425317143,1.09336307735,0.364168244979,6.16861118913,8.532638628244285,8.70628387121,2.37021290852,14.0213268183
