Date,coredata.weekly_CRO10.,start_date
2018-05-06,11.777135416666667,2018-04-30
2018-05-13,12.592395833333333,2018-05-07
2018-05-20,13.013422619047619,2018-05-14
2018-05-27,13.508660714285714,2018-05-21
2018-06-03,13.026681547619047,2018-05-28
2018-06-10,13.198720238095238,2018-06-04
2018-06-17,13.418794642857144,2018-06-11
2018-06-24,16.05282738095238,2018-06-18
2018-07-01,16.045267857142857,2018-06-25
2018-07-08,15.835476190476191,2018-07-02
2018-07-15,17.098154761904762,2018-07-09
2018-07-22,17.449479166666666,2018-07-16
2018-07-29,18.428526785714286,2018-07-23
2018-08-05,17.97127976190476,2018-07-30
2018-08-12,18.577380952380953,2018-08-06
2018-08-19,18.092232142857142,2018-08-13
2018-08-26,17.048616071428572,2018-08-20
2018-09-02,16.552291666666665,2018-08-27
2018-09-09,15.88751488095238,2018-09-03
2018-09-16,15.2003125,2018-09-10
2018-09-23,14.06266369047619,2018-09-17
2018-09-30,14.151800595238095,2018-09-24
2018-10-01,14.533854166666666,2018-09-25
2019-05-05,11.40575,2019-04-29
2019-05-12,13.351800595238096,2019-05-06
2019-05-19,12.28220238095238,2019-05-13
2019-05-26,12.427127976190476,2019-05-20
2019-06-02,13.70561011904762,2019-05-27
2019-06-09,13.533526785714285,2019-06-03
2019-06-16,15.81342261904762,2019-06-10
2019-06-23,14.957708333333333,2019-06-17
2019-06-30,14.428690476190477,2019-06-24
2019-07-07,15.336755952380953,2019-07-01
2019-07-14,16.452857142857145,2019-07-08
2019-07-21,16.577767857142856,2019-07-15
2019-07-28,17.0384375,2019-07-22
2019-08-04,17.319836309523808,2019-07-29
2019-08-11,17.157767857142858,2019-08-05
2019-08-18,17.17511904761905,2019-08-12
2019-08-25,16.706517857142856,2019-08-19
2019-09-01,17.14501488095238,2019-08-26
2019-09-08,17.165863095238095,2019-09-02
2019-09-15,16.008809523809525,2019-09-09
2019-09-22,14.952708333333334,2019-09-16
2019-09-29,14.305178571428572,2019-09-23
2019-10-06,10.817008928571429,2019-09-30
2019-10-11,10.295592905405405,2019-10-05
2021-05-02,13.708333333333334,2021-04-26
2021-05-09,13.029449404761905,2021-05-03
2021-05-16,15.051026785714285,2021-05-10
2021-05-23,13.278258928571429,2021-05-17
2021-05-30,14.031666666666666,2021-05-24
2021-06-06,16.817604166666666,2021-05-31
2021-06-13,14.237872023809523,2021-06-07
2021-06-20,15.703348214285715,2021-06-14
2021-06-27,18.508184523809526,2021-06-21
2021-07-04,19.18800595238095,2021-06-28
2021-07-11,17.771681547619046,2021-07-05
2021-07-18,17.619613095238094,2021-07-12
2021-07-25,17.30221726190476,2021-07-19
2021-08-01,18.73839285714286,2021-07-26
2021-08-08,18.630982142857142,2021-08-02
2021-08-15,19.034449404761904,2021-08-09
2021-08-22,17.08105654761905,2021-08-16
2021-08-29,15.949479166666666,2021-08-23
2021-09-05,15.600669642857143,2021-08-30
2021-09-12,16.406845238095237,2021-09-06
2021-09-19,15.206815476190476,2021-09-13
2021-09-26,15.277604166666666,2021-09-20
2021-10-02,14.657387432795698,2021-09-26
2022-05-01,11.229770833333333,2022-04-25
2022-05-08,10.709626488095237,2022-05-02
2022-05-15,10.528002976190477,2022-05-09
2022-05-22,11.433815476190476,2022-05-16
2022-05-29,12.814220238095238,2022-05-23
2022-06-05,13.539058035714286,2022-05-30
2022-06-12,13.415251488095238,2022-06-06
2022-06-19,12.802102678571428,2022-06-13
2022-06-26,14.541581845238095,2022-06-20
2022-07-03,15.433363095238095,2022-06-27
2022-07-10,15.749095238095238,2022-07-04
2022-07-17,16.954683035714286,2022-07-11
2022-07-24,17.808144345238095,2022-07-18
2022-07-31,21.092849702380953,2022-07-25
2022-08-07,19.661340773809524,2022-08-01
2022-08-14,18.92651636904762,2022-08-08
2022-08-21,19.095558035714287,2022-08-15
2022-08-28,18.114181547619047,2022-08-22
2022-09-04,17.05578125,2022-08-29
2022-09-11,15.65449255952381,2022-09-05
2022-09-18,15.477224702380951,2022-09-12
2022-09-25,14.47060119047619,2022-09-19
2022-10-02,14.88521875,2022-09-26
2022-10-04,13.491768914473685,2022-09-28
