Date,coredata.weekly_SHE1.,start_date
2018-05-06,13.538802083333334,2018-04-30
2018-05-13,15.037127976190476,2018-05-07
2018-05-20,15.435833333333333,2018-05-14
2018-05-27,16.374568452380952,2018-05-21
2018-06-03,15.591785714285715,2018-05-28
2018-06-10,15.786056547619047,2018-06-04
2018-06-17,15.858511904761905,2018-06-11
2018-06-24,18.76016369047619,2018-06-18
2018-07-01,18.744255952380954,2018-06-25
2018-07-08,18.697738095238094,2018-07-02
2018-07-15,20.391279761904762,2018-07-09
2018-07-22,20.474627976190476,2018-07-16
2018-07-29,21.730014880952382,2018-07-23
2018-08-05,20.759255952380954,2018-07-30
2018-08-12,21.189955357142857,2018-08-06
2018-08-19,19.844747023809525,2018-08-13
2018-08-26,18.458020833333332,2018-08-20
2018-09-02,17.811011904761905,2018-08-27
2018-09-09,16.854836309523808,2018-09-03
2018-09-16,15.072202380952382,2018-09-10
2018-09-23,14.738690476190476,2018-09-17
2018-09-30,15.161339285714286,2018-09-24
2018-10-01,15.688541666666667,2018-09-25
2019-05-05,14.063437500000001,2019-04-29
2019-05-12,16.505758928571428,2019-05-06
2019-05-19,13.637440476190475,2019-05-13
2019-05-26,14.022098214285714,2019-05-20
2019-06-02,16.489107142857144,2019-05-27
2019-06-09,16.40438988095238,2019-06-03
2019-06-16,20.229389880952382,2019-06-10
2019-06-23,18.12034226190476,2019-06-17
2019-06-30,17.628467261904763,2019-06-24
2019-07-07,18.265505952380952,2019-07-01
2019-07-14,19.616875,2019-07-08
2019-07-21,19.656309523809522,2019-07-15
2019-07-28,20.5484375,2019-07-22
2019-08-04,20.691994047619048,2019-07-29
2019-08-11,19.540892857142858,2019-08-05
2019-08-18,19.601160714285715,2019-08-12
2019-08-25,18.69172619047619,2019-08-19
2019-09-01,19.418675595238096,2019-08-26
2019-09-08,18.07674107142857,2019-09-02
2019-09-15,16.107559523809524,2019-09-09
2019-09-22,15.422574404761905,2019-09-16
2019-09-29,14.672812500000001,2019-09-23
2019-10-06,11.839717261904761,2019-09-30
2019-10-11,11.451375,2019-10-05
2021-05-02,15.528715277777778,2021-04-26
2021-05-09,15.129330357142857,2021-05-03
2021-05-16,17.67986607142857,2021-05-10
2021-05-23,14.98639880952381,2021-05-17
2021-05-30,16.103958333333335,2021-05-24
2021-06-06,20.31200892857143,2021-05-31
2021-06-13,16.180982142857143,2021-06-07
2021-06-20,18.766949404761906,2021-06-14
2021-06-27,23.275520833333335,2021-06-21
2021-07-04,22.94830357142857,2021-06-28
2021-07-11,21.574032738095237,2021-07-05
2021-07-18,20.998794642857142,2021-07-12
2021-07-25,20.428199404761905,2021-07-19
2021-08-01,21.54050595238095,2021-07-26
2021-08-08,21.152872023809522,2021-08-02
2021-08-15,21.656532738095237,2021-08-09
2021-08-22,18.463333333333335,2021-08-16
2021-08-29,17.488377976190478,2021-08-23
2021-09-05,17.035863095238096,2021-08-30
2021-09-12,17.72733630952381,2021-09-06
2021-09-19,15.97345238095238,2021-09-13
2021-09-26,16.2284375,2021-09-20
2021-10-02,14.88388888888889,2021-09-26
2022-05-01,12.88178125,2022-04-25
2022-05-08,12.246697916666667,2022-05-02
2022-05-15,12.007278273809524,2022-05-09
2022-05-22,13.552662202380953,2022-05-16
2022-05-29,15.536614583333334,2022-05-23
2022-06-05,15.864379464285715,2022-05-30
2022-06-12,15.603419642857142,2022-06-06
2022-06-19,14.236061011904761,2022-06-13
2022-06-26,18.131450892857142,2022-06-20
2022-07-03,19.245313988095237,2022-06-27
2022-07-10,19.41001488095238,2022-07-04
2022-07-17,20.927122023809524,2022-07-11
2022-07-24,20.72730505952381,2022-07-18
2022-07-31,23.589855654761905,2022-07-25
2022-08-07,21.58907142857143,2022-08-01
2022-08-14,20.377275297619047,2022-08-08
2022-08-21,20.98464285714286,2022-08-15
2022-08-28,20.74873363095238,2022-08-22
2022-09-04,19.904218750000002,2022-08-29
2022-09-11,17.80994642857143,2022-09-05
2022-09-18,16.646181547619047,2022-09-12
2022-09-25,15.894313988095238,2022-09-19
2022-10-02,15.762927083333334,2022-09-26
2022-10-04,15.56329413377193,2022-09-28
