OBJECTID,UnitID,UnitID2,Name,UnitType,Status,PW Grid No,GLOBALID,Flow direction,Shape__Length
1253,30496,29538,,CREEK,ACT,51-454,faec148c-c35a-42c9-9909-f75740082a41,1,1920.307379
1256,31307,30717,,CREEK,ACT,45-452,3bd05e9c-dd6c-4a11-9238-1cc678054134,1,570.680956
1263,8633,7573,,CREEK,ACT,54-478,21e573b5-0662-4916-ae4a-934c86ba368e,1,1078.715637
1264,33503,33795,,CREEK,ACT,42-450,6f36f456-6d72-43af-852f-e41ab29d1033,1,468.3271099
1266,557,659,,CREEK,ACT,51-492,344ad9ea-62e8-42ae-9df8-0ff180b70a4a,1,115.9751881
1267,7329,7082,,CREEK,REM,57-480,5401c9f2-c820-4cf8-9e11-810df4e5eb97,1,254.7617051
1277,27221,27070,Clark Creek,CREEK,ACT,36-458,8c6410cd-6866-4d74-b5a6-1a37d2504722,1,187.712712
1282,37264,120050,,CREEK,ACT,51-494,04d3ff41-6dce-4d6c-bbfa-bb48d79fb1a7,1,484.565776
1285,123900,38029,,CREEK,ACT,48-452,e74cbb53-2da8-460c-a7cf-cc218e2419ea,1,87.91880488
1286,123894,123899,,CREEK,ACT,48-452,c1350cdb-ca61-45b9-ac28-1d262f297ca2,1,35.56111053
1287,123584,123893,,CREEK,ACT,48-452,d3df1a25-75ef-4c69-ba64-42aaf735cd88,1,53.23872578
1288,123577,123579,,CREEK,ACT,48-452,f9008076-378d-41c3-bddb-b8e54cd84e8a,1,95.99317108
1289,123579,123580,,CREEK,ACT,48-452,7c55c9e7-97df-49e7-a1f0-ea7cf29e95aa,1,9.691348359
1290,123583,123584,,CREEK,ACT,48-452,6e7bac58-fda1-4cb9-814f-ff5bd8dc8342,1,9.629305004
1291,123582,123584,,CREEK,ACT,48-452,86b37667-35d4-4233-9f5d-502003dd3f2f,1,9.274026378
1292,123893,123585,,CREEK,ACT,48-452,4410a5b8-2c5f-4198-8943-2b75b1618d37,1,7.265502706
1293,123891,123894,,CREEK,ACT,48-452,e3bc510a-690d-41e8-b926-5eaea5bc1ee6,1,7.09256058
1294,123899,123895,,CREEK,ACT,48-452,b11f164b-6218-43bd-aa90-d41b73d9aaa3,1,12.91942672
1295,123897,123900,,CREEK,ACT,48-452,a8a65381-ab47-4e86-8096-e41282081b1e,1,8.623537496
1296,123898,123900,,CREEK,ACT,48-452,6dd9b1f1-90bc-4296-92c4-d36d9e954630,1,6.482500443
1312,30418,110770,West Middle Fork Little Pudding River,CREEK,REM,51-454,77a798ce-aea5-4b61-8109-91faa1ee3a55,1,1362.959058
1313,30485,30418,,CREEK,ACT,51-454,e26c8af9-34e7-44a4-8b64-fd326534e056,1,972.9725671
1314,111091,7741,,CREEK,ACT,57-480,945d554d-8faf-4760-af78-4b98813bdcc7,1,1045.56215
1348,68903,101175,North Fork Little Pudding River,CREEKEPH,ACT,60-490,5b4ab7c5-4048-444b-afb4-839023e9d6b0,1,786.1550831
1462,27025,27016,,CREEK,ACT,39-458,5303010e-9804-46b4-99a5-7c70e77d6cc0,1,17.75823417
1463,27011,27016,,CREEK,ACT,39-458,5354d445-b53a-45c8-9800-879e7e78abd4,1,20.94139893
1541,808,149170,,CREEK,ACT,54-492,59f1d500-5c56-43ce-82a8-3c5b44984cc6,1,134.3110461
1542,930,149172,,CREEK,ACT,54-492,508c666b-abef-4b5e-ba01-3516bf09d9e8,1,737.0711012
1543,149171,741,,CREEK,ACT,51-492,8a4f9a54-cf89-4fbf-8d05-e8eb5e1676b8,1,258.2772459
1738,26553,123570,Clark Creek,CREEK,ACT,36-460,d24c2881-a3f5-40c8-b784-4926478a5a5e,1,316.5746293
1813,182835,182836,Battle Creek,CREEK,ACT,33-444,dd4e8d05-2af2-4702-afcf-2876ba9421ad,1,68.93924671
1814,182831,182832,Battle Creek,CREEK,ACT,33-442,15987854-698a-4386-9c6b-ffe8f104cbde,1,19.5260243
1815,182829,182830,Battle Creek,CREEK,ACT,33-442,238cc5c5-0b6f-43c6-a163-dca93b7d14d7,1,17.30787393
1816,182827,182828,Battle Creek,CREEK,ACT,27-444,980d74d9-7f77-49ae-869c-6575360e688d,1,31.23750728
1817,182819,182820,Ruggles Swale (Trib. Battle Creek),CREEK,ACT,27-446,b351ebb4-7030-43bd-a873-110f6cf0af59,1,193.3115268
1818,182818,182819,Ruggles Swale (Trib. Battle Creek),CREEK,ACT,27-446,b056b861-a754-4c97-94de-6783570f8fe3,1,51.39309292
1819,182825,182826,Ruggles Swale (Trib. Battle Creek),CREEK,ACT,30-446,431faeef-fcfd-4a55-a7fe-59c04b5dae74,1,98.53054356
1820,182771,182772,Cole Brook (Trib. S Fork Battle Creek) ,CREEK,ACT,,cabcb7c7-9ae4-401c-b014-933cfefaec24,1,54.74294119
1821,182772,89012,Cole Brook (Trib. S Fork Battle Creek) ,CREEK,ACT,,edec3a03-73d4-46f3-a044-50350dc80de7,1,1523.524201
1822,182822,182823,Ruggles Swale (Trib. Battle Creek),CREEK,ACT,27-446,3df57ece-d8c8-453e-8247-79a093b0c869,1,46.37297077
1823,182821,182822,Ruggles Swale (Trib. Battle Creek),CREEK,ACT,27-446,0c25a803-ebd6-4cc4-8807-619d3ba3137f,1,50.87169597
1824,182820,182821,Ruggles Swale (Trib. Battle Creek),CREEK,ACT,27-446,e69480fa-9067-4748-aee0-2df3fa969195,1,94.03729317
1825,182833,182834,Battle Creek,CREEK,ACT,33-442,30315722-82e8-4921-95ac-66632a2ea175,1,20.8023696
1826,48392,48391,,CREEK,ACT,33-446,2fda6db9-bdfe-4e51-a027-69765da726c4,1,1429.669205
1828,182837,182838,Battle Creek,CREEK,ACT,36-444,6e15322e-691d-44d6-af87-96c3bc4a0cc0,1,17.95829378
1829,54451,54450,Battle Creek,CREEK,ACT,39-444,ae9ca1ff-c953-46fc-ba26-7ef2a6b99ae9,1,72.68603046
1830,48390,35912,Jory Creek (Trib. Battle Creek),CREEK,ACT,36-446,4e5e60e3-a718-416c-9e55-1741a2217886,1,70.00490461
1831,48389,48388,Jory Creek (Trib. Battle Creek),CREEK,ACT,36-446,5db0984b-49f5-4515-973b-3bc457ca3b15,1,25.2136728
1834,131271,127442,Waln Creek (Trib. Battle Creek),CREEK,ACT,36-450,c23a30d9-eb20-4eb7-b098-52a52748db2f,1,12.26142694
1835,127443,131272,Waln Creek (Trib. Battle Creek),CREEK,ACT,36-450,3288d060-9582-431a-abb1-5d6d1d779139,1,11.25529204
1836,182465,183090,Ruggles Swale (Trib. Battle Creek),CREEK,ACT,27-446,51379649-4ad7-4ea4-b74d-adeab18c7bb1,1,624.2763799
1837,183100,182833,Battle Creek,CREEK,ACT,33-442,4db3f32f-0e38-4daa-87ae-d73490b495c1,1,375.618226
1838,37503,36579,Battle Creek,CREEK,ACT,42-446,2d06e6d7-cb6c-46ae-b4f0-12091ec0a279,1,48.09332581
1839,182843,182844,South Fork Battle Creek,CREEK,ACT,,73456c87-aaa8-4002-9a31-f51c02ffd6c0,1,520.0956095
1840,182844,89017,South Fork Battle Creek,CREEK,ACT,,ae2db44c-650e-4436-a24d-2532b41a0eaa,1,38.65022271
1841,182848,182845,South Fork Battle Creek,CREEK,ACT,,eaf5cf7e-6a26-42a9-aff5-ebd1c87080f2,1,247.7164905
1842,182847,182848,South Fork Battle Creek,CREEK,ACT,,ef5e2632-16dd-4bd9-8bf4-1ebc054f3436,1,43.88817448
1843,182839,183114,Jory Creek (Trib. Battle Creek),CREEK,ACT,36-446,a93b180b-25e8-4a4b-945e-c859772efd62,1,2189.840368
1844,183114,183115,Jory Creek (Trib. Battle Creek),CREEK,ACT,36-446,e1782c44-190f-4565-a99d-e25b1105d16b,1,60.49914665
1845,183119,52211,Jory Creek (Trib. Battle Creek),CREEK,ACT,36-446,abc1e784-6502-4f83-8f45-942aaefff057,1,1018.009369
1846,183116,183117,Jory Creek (Trib. Battle Creek),CREEK,ACT,36-446,a0d0b2b7-2d2f-40b7-bbdb-0d9b5cb3e2f7,1,13.54421466
1847,183117,183118,Jory Creek (Trib. Battle Creek),CREEK,ACT,36-446,ba10f718-4d2f-482f-b11d-79d92aefc0ec,1,75.77358845
1848,183118,183119,Jory Creek (Trib. Battle Creek),CREEK,ACT,36-446,6da1d256-361f-40c9-9599-5883e52cbb08,1,8.889017955
1849,183125,183126,Battle Creek,CREEK,ACT,42-446,00f81c99-dc9e-4268-adac-61f6bbef610e,1,457.1020265
1850,183120,183121,Battle Creek,CREEK,ACT,42-446,3ae6872b-7570-489c-9f55-a601a77f4289,1,13.12696284
1851,183121,183122,Battle Creek,CREEK,ACT,42-446,f3e616b4-01cf-4e47-b0b2-ac6549a88605,1,471.5101676
1852,183122,183123,Battle Creek,CREEK,ACT,42-446,0da32f95-d51f-4877-b496-08931b13c66d,1,6.675018853
1853,183123,183124,Battle Creek,CREEK,ACT,42-446,1c16ea64-1b32-48f9-aabc-7256b8179164,1,189.3564669
1854,183124,183125,Battle Creek,CREEK,ACT,42-446,e7ec747b-66bf-441e-a34e-d8d93d8b695b,1,20.41096803
1855,183127,37503,Battle Creek,CREEK,ACT,42-446,81171b06-fbc2-4180-9789-f4c70b919d50,1,164.1342681
1856,183126,183127,Battle Creek,CREEK,ACT,42-446,dc839951-d3e2-4acb-abc9-b27cd6666c2b,1,14.97344039
